source_id,gender,master_category,sub_category,article_type,base_colour,season,year,usage,product_display_name,image_url
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/15970.jpg
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/39386.jpg
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/59263.jpg
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/21379.jpg
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/53759.jpg
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/1855.jpg
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/30805.jpg
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/26960.jpg
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/29114.jpg
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/30039.jpg
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/9204.jpg
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/48123.jpg
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/18653.jpg
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/47957.jpg
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/46885.jpg
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/12369.jpg
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/29928.jpg
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/42419.jpg
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/51832.jpg
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/47359.jpg
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/17429.jpg
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/12967.jpg
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/6842.jpg
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,https://vnsjgfqfspzgecbkujkt.supabase.co/storage/v1/object/public/product-images/images/13089.jpg
